Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combined_cycle_4,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,n/a
StartCap,2806.182,5244.0,4026.4,31802.922,1697.696,20288.499,14508.75,704.718,2440.0,17770.208,3231.6,263.268,2974.6,4729.48,3206.9,6119.616,21225.12,19.5,296.0,1413.201,2341.199,3395.7,2104.7,3654.5,834.494,1629.6,11123.215,6261.984,26218.712,4637.5,42679.32,6088.5,24934.14,683.209,33632.288,2228.0,249.895,8502.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325967.816
RetCap,0.0,0.0,8.713509168819732e-8,8.872570193481357e-9,7.929419653672554e-8,2.4772849659967636e-7,2.2622666150724056e-7,1.1702330479138249e-7,2.282996126333657e-7,2.7224214868473997e-7,2.6917274883200037e-7,0.0,2.4556665788071393e-7,0.0,0.0,1.7774275172446426e-7,1.5740082121619675e-7,2.111051448678626e-8,1.1761756510588952e-8,4.356174675337893e-8,1.1162853371928679e-7,2.6249093592826328e-8,1.7686102263038374e-7,4.873553675802891e-7,0.0,2.0784783132603316e-7,0.0,0.0,3.830347302892172e-7,4.7478117493853097e-7,3.116529784779073e-7,3.434177205053747e-7,3.43319146308349e-7,3.6782370449923673e-7,2.7636319764475605e-7,3.0308912897022093e-7,0.0,8.820232966945539e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.094765040190806e-6
NewCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13950.039995892164,6104.616724061303,309764.0579722007,865164.3867271806,1.0733117600203737e-5,61535.70546682402,2481.7017789169995,286868.675267156,683578.058711263,1.5889637410826106e-5,3353.657221411783,0.0001746230805673099,89764.88169974419,300030.0842533273,1.539474010550569e-5,32928.49299983445,3.629470549400377e-5,2.8673956643717464e-5,1.0704675162064993e-5,506090.6956262713,955444.9999997878,1.4351411088575177e-5,2.2346126849277575e-5,989512.9999997319,26782.999998760184,288616.9999997214,115698.99999972248,996251.9999993426,856898.145317935,6.324263845952047e-5,42116.05308301629,8.254629540319574e-5,1.4787568726543205e-5,5.019359863454008e-6,7.609382231547548e-6,760408.1466103847,2.149796008362547e-5,119649.75704971555,84057.99999891434,20181.99999997717,105300.99999978123,95535.99999963015,79806.99999972101,117167.99999995639,66200.99999965135,102848.999999585,1383.999999939661,25175.999999512293,10378.999999659345,94296.99999929755,2.3969668787929117e-5,86256.99999988945,42062.9999997816,6840.999999438111,10959.999999580887,65323.99999991028,17701.999999402815,5.560508145147199e-5,1110.999999623394,13216.999996701054,9.358809157095443e6
EndCap,2806.182,5244.0,4026.399999912865,31802.921999991126,1697.6959999207056,20288.49899975227,14508.749999773774,704.7179998829766,2439.9999997717005,17770.207999727758,3231.599999730827,263.268,2974.599999754433,4729.48,3206.9,6119.615999822257,21225.1199998426,19.499999978889484,295.99999998823824,1413.2009999564382,2341.1989998883714,3395.699999973751,2104.6999998231386,3654.4999995126445,834.494,1629.5999997921522,11123.215,6261.984,26218.711999616964,4637.499999525219,42679.31999968835,6088.499999656582,24934.13999965668,683.2089996321762,33632.28799972364,2227.999999696911,249.895,8502.199999911798,13950.039995892164,6104.616724061303,309764.0579722007,865164.3867271806,1.0733117600203737e-5,61535.70546682402,2481.7017789169995,286868.675267156,683578.058711263,1.5889637410826106e-5,3353.657221411783,0.0001746230805673099,89764.88169974419,300030.0842533273,1.539474010550569e-5,32928.49299983445,3.629470549400377e-5,2.8673956643717464e-5,1.0704675162064993e-5,506090.6956262713,955444.9999997878,1.4351411088575177e-5,2.2346126849277575e-5,989512.9999997319,26782.999998760184,288616.9999997214,115698.99999972248,996251.9999993426,856898.145317935,6.324263845952047e-5,42116.05308301629,8.254629540319574e-5,1.4787568726543205e-5,5.019359863454008e-6,7.609382231547548e-6,760408.1466103847,2.149796008362547e-5,119649.75704971555,84057.99999891434,20181.99999997717,105300.99999978123,95535.99999963015,79806.99999972101,117167.99999995639,66200.99999965135,102848.999999585,1383.999999939661,25175.999999512293,10378.999999659345,94296.99999929755,2.3969668787929117e-5,86256.99999988945,42062.9999997816,6840.999999438111,10959.999999580887,65323.99999991028,17701.999999402815,5.560508145147199e-5,1110.999999623394,13216.999996701054,9.684776973089349e6
StartEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RetEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NewEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.276203107930815e6,0.0,0.0,0.0,0.0,5.988978884560953e6,0.0,0.0,0.0,0.0,2.196384648143303e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.546156664063507e7
EndEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.276203107930815e6,0.0,0.0,0.0,0.0,5.988978884560953e6,0.0,0.0,0.0,0.0,2.196384648143303e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.546156664063507e7
StartChargeCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
